시장,보통주명,우선주명,시가총액(보통주),배당성향,보통주가,우선주가,괴리율(%),보통주 배당금,보통주 배당수익률(A),우선주 배당금,우선주 배당수익률(B),배당수익률 비율(B/A),우선주코드,보통주코드
코스피,삼성전자,삼성전자우,1607726617200000.0,25.25,275000.0,210500.0,23.45,1668.0,0.61,1669.0,0.79,1.3,005935,005930
코스피,삼성전기,삼성전기우,106961372672000.0,25.15,1432000.0,511000.0,64.32,2350.0,0.16,2400.0,0.47,2.94,009155,009150
코스피,현대차,현대차우,74019932409000.0,27.71,361500.0,174000.0,51.87,10000.0,2.77,10050.0,5.78,2.09,005385,005380
코스피,현대차,현대차2우B,74019932409000.0,27.71,361500.0,173900.0,51.89,10000.0,2.77,10100.0,5.81,2.1,005387,005380
코스피,현대차,현대차3우B,74019932409000.0,27.71,361500.0,172000.0,52.42,10000.0,2.77,10050.0,5.84,2.11,005389,005380
코스피,삼성물산,삼성물산우B,59758753598500.0,18.79,368500.0,236500.0,35.82,2800.0,0.76,2850.0,1.21,1.59,02826K,028260
코스피,삼성SDI,삼성SDI우,43193844080000.0,,536000.0,215500.0,59.79,0.0,0.0,0.0,0.0,,006405,006400
코스피,SK,SK우,41906562334000.0,27.59,578000.0,384000.0,33.56,8000.0,1.38,8050.0,2.1,1.52,03473K,034730
코스피,LG전자,LG전자우,33065581514000.0,25.33,203000.0,69700.0,65.67,1350.0,0.67,1400.0,2.01,3.0,066575,066570
코스피,삼성화재,삼성화재우,29199447342000.0,41.07,654000.0,409500.0,37.39,19500.0,2.98,19505.0,4.76,1.6,000815,000810
코스피,SK이노베이션,SK이노베이션우,23701200877600.0,,140200.0,68800.0,50.93,0.0,0.0,0.0,0.0,,096775,096770
코스피,두산,두산2우B,23400091575000.0,94.56,1445000.0,389000.0,73.08,4000.0,0.28,4000.0,1.03,3.68,000157,000150
코스피,두산,두산우,23400091575000.0,94.56,1445000.0,482000.0,66.64,4000.0,0.28,4050.0,0.84,3.0,000155,000150
코스피,LG화학,LG화학우,18459897694500.0,,261500.0,116900.0,55.3,2000.0,0.76,2050.0,1.75,2.3,051915,051910
코스피,미래에셋증권,미래에셋증권2우B,17376673632000.0,11.24,32000.0,10790.0,66.28,300.0,0.94,300.0,2.78,2.96,00680K,006800
코스피,미래에셋증권,미래에셋증권우,17376673632000.0,11.24,32000.0,11780.0,63.19,300.0,0.94,330.0,2.8,2.98,006805,006800
코스피,S-Oil,S-Oil우,17326491688800.0,21.72,153900.0,74900.0,51.33,330.0,0.21,355.0,0.47,2.24,010955,010950
코스피,LG,LG우,16948623648400.0,64.85,112100.0,66400.0,40.77,3100.0,2.77,3150.0,4.74,1.71,003555,003550
코스피,현대건설,현대건설우,14064233119500.0,24.1,126300.0,54100.0,57.17,800.0,0.63,850.0,1.57,2.49,000725,000720
코스피,대한항공,대한항공우,10696808691450.0,35.16,29050.0,21800.0,24.96,750.0,2.58,800.0,3.67,1.42,003495,003490
코스피,GS,GS우,10552928232000.0,35.57,113600.0,60400.0,46.83,3000.0,2.64,3050.0,5.05,1.91,078935,078930
코스피,한국금융지주,한국금융지주우,10287018123200.0,25.12,184600.0,146300.0,20.75,8690.0,4.71,8752.0,5.98,1.27,071055,071050
코스피,NH투자증권,NH투자증권우,9765501477250.0,45.11,26450.0,23050.0,12.85,1300.0,4.91,1350.0,5.86,1.19,005945,005940
코스피,한진칼,한진칼우,9286632452500.0,15.56,139100.0,29800.0,78.58,360.0,0.26,385.0,1.29,4.96,18064K,180640
코스피,아모레퍼시픽,아모레퍼시픽우,8463902227300.0,36.3,144700.0,42700.0,70.49,1240.0,0.86,1245.0,2.92,3.4,090435,090430
코스피,한화,한화3우B,7050080183400.0,27.01,132200.0,39850.0,69.86,1100.0,0.83,1150.0,2.89,3.48,00088K,000880
코스피,한화솔루션,한화솔루션우,6252012500800.0,,27800.0,17180.0,38.2,0.0,0.0,0.0,0.0,,009835,009830
코스피,유한양행,유한양행우,5587437777900.0,23.09,75900.0,65800.0,13.31,600.0,0.79,610.0,0.93,1.18,000105,000100
코스피,대덕전자,대덕전자1우,5085001582500.0,54.11,102900.0,21750.0,78.86,500.0,0.49,505.0,2.32,4.73,35320K,353200
코스피,LG생활건강,LG생활건강우,4477681377000.0,,299000.0,99300.0,66.79,2000.0,0.67,2050.0,2.06,3.07,051905,051900
코스피,CJ,CJ4우(전환),3743408843400.0,77.27,128300.0,126300.0,1.56,3300.0,2.57,3350.0,2.65,1.03,00104K,001040
코스피,CJ,CJ우,3743408843400.0,77.27,128300.0,65500.0,48.95,3300.0,2.57,3350.0,5.11,1.99,001045,001040
코스피,DL이앤씨,DL이앤씨2우(전환),3304435404200.0,10.18,85400.0,53300.0,37.59,890.0,1.04,890.0,1.67,1.61,37550L,375500
코스피,DL이앤씨,DL이앤씨우,3304435404200.0,10.18,85400.0,26750.0,68.68,890.0,1.04,940.0,3.51,3.37,37550K,375500
코스피,두산퓨얼셀,두산퓨얼셀2우B,3189544456200.0,,48700.0,7820.0,83.94,0.0,0.0,0.0,0.0,,33626L,336260
코스피,두산퓨얼셀,두산퓨얼셀1우,3189544456200.0,,48700.0,6530.0,86.59,0.0,0.0,0.0,0.0,,33626K,336260
코스피,금호석유화학,금호석유화학우,3013847535000.0,15.04,119800.0,50300.0,58.01,1700.0,1.42,1750.0,3.48,2.45,011785,011780
코스피,CJ제일제당,CJ제일제당 우,2640504224400.0,,175400.0,111100.0,36.66,6000.0,3.42,6050.0,5.45,1.59,097955,097950
코스피,롯데지주,롯데지주우,2431796134400.0,,24400.0,24800.0,-1.64,1250.0,5.12,1300.0,5.24,1.02,00499K,004990
코스피,아모레퍼시픽홀딩스,아모레퍼시픽홀딩스우,2033787588000.0,29.39,26600.0,11160.0,58.05,400.0,1.5,405.0,3.63,2.42,002795,002790
코스피,아모레퍼시픽홀딩스,아모레퍼시픽홀딩스3우C,2033787588000.0,29.39,26600.0,21700.0,18.42,400.0,1.5,667.0,3.07,2.05,00279K,002790
코스피,코오롱인더,코오롱인더우,1724891443200.0,577.78,57600.0,25350.0,55.99,1300.0,2.26,1350.0,5.33,2.36,120115,120110
코스피,호텔신라,호텔신라우,1585624088400.0,,40400.0,28050.0,30.57,0.0,0.0,0.0,0.0,,008775,008770
코스피,코리아써키트,코리아써우,1268680598000.0,5.79,52900.0,17100.0,67.67,100.0,0.19,105.0,0.61,3.21,007815,007810
코스피,코리아써키트,코리아써키트2우B,1268680598000.0,5.79,52900.0,13500.0,74.48,100.0,0.19,105.0,0.78,4.11,00781K,007810
코스피,대신증권,대신증권우,1258385726400.0,49.73,26400.0,20250.0,23.3,1200.0,4.55,1250.0,6.17,1.36,003545,003540
코스피,대신증권,대신증권2우B,1258385726400.0,49.73,26400.0,19640.0,25.61,1200.0,4.55,1200.0,6.11,1.34,003547,003540
코스피,DL,DL우,1098088321600.0,,52400.0,25000.0,52.29,0.0,0.0,0.0,0.0,,000215,000210
코스피,대원전선,대원전선우,1074277499200.0,,13700.0,10260.0,25.11,0.0,0.0,0.0,0.0,,006345,006340
코스피,하이트진로,하이트진로2우B,1056913517770.0,117.45,15070.0,12350.0,18.05,700.0,4.64,750.0,6.07,1.31,000087,000080
코스피,한화투자증권,한화투자증권우,1012665498000.0,,4720.0,6630.0,-40.47,0.0,0.0,0.0,0.0,,003535,003530
코스피,SK디스커버리,SK디스커버리우,989101056800.0,28.73,56800.0,41800.0,26.41,2000.0,3.52,2050.0,4.9,1.39,006125,006120
코스피,SK케미칼,SK케미칼우,887426695800.0,49.87,51300.0,25200.0,50.88,1150.0,2.24,1200.0,4.76,2.12,28513K,285130
코스피,롯데칠성,롯데칠성우,881493980000.0,72.39,95000.0,65000.0,31.58,3400.0,3.58,3405.0,5.24,1.46,005305,005300
코스피,유안타증권,유안타증권우,873804262570.0,49.66,4535.0,4285.0,5.51,220.0,4.85,270.0,6.3,1.3,003475,003470
코스피,JW중외제약,JW중외제약우,633377296000.0,25.65,27200.0,22700.0,16.54,650.0,2.39,675.0,2.97,1.24,001065,001060
코스피,JW중외제약,JW중외제약2우B,633377296000.0,25.65,27200.0,50100.0,-84.19,650.0,2.39,650.0,1.3,0.54,001067,001060
코스피,동원시스템즈,동원시스템즈우,623312563000.0,49.07,21500.0,13100.0,39.07,900.0,4.19,1000.0,7.63,1.82,014825,014820
코스피,대상,대상우,617081325250.0,,17810.0,14480.0,18.7,850.0,4.77,860.0,5.94,1.25,001685,001680
코스피,LX홀딩스,LX홀딩스1우,612533940700.0,16.62,8030.0,7500.0,6.6,290.0,3.61,300.0,4.0,1.11,38380K,383800
코스피,솔루스첨단소재,솔루스첨단소재1우,558187769100.0,,7950.0,1483.0,81.35,10.0,0.13,11.0,0.74,5.69,33637K,336370
코스피,솔루스첨단소재,솔루스첨단소재2우B,558187769100.0,,7950.0,2330.0,70.69,10.0,0.13,10.0,0.43,3.31,33637L,336370
코스피,SK증권,SK증권우,553951728575.0,,2395.0,4005.0,-67.22,0.0,0.0,0.0,0.0,,001515,001510
코스피,한화머시너리앤서비스홀딩스,한화머시너리앤서비스홀딩스3우B,540054268650.0,,6390.0,2455.0,61.58,0.0,0.0,0.0,0.0,,0220WL,0220W0
코스피,넥센타이어,넥센타이어1우B,536196644730.0,13.61,5490.0,3930.0,28.42,200.0,3.64,205.0,5.22,1.43,002355,002350
코스피,태영건설,태영건설우,531570019968.0,,1664.0,6390.0,-284.01,0.0,0.0,0.0,0.0,,009415,009410
코스피,부국증권,부국증권우,528864186000.0,46.98,51000.0,30050.0,41.08,2400.0,4.71,2450.0,8.15,1.73,001275,001270
코스피,한화갤러리아,한화갤러리아우,523420947000.0,,2700.0,4635.0,-71.67,0.0,0.0,0.0,0.0,,45226K,452260
코스피,금호건설,금호건설우,511952042760.0,11.33,13740.0,16720.0,-21.69,200.0,1.46,350.0,2.09,1.43,002995,002990
코스피,신풍제약,신풍제약우,492209921580.0,,9390.0,13900.0,-48.03,0.0,0.0,0.0,0.0,,019175,019170
코스피,삼양사,삼양사우,476997016250.0,,46250.0,33050.0,28.54,1750.0,3.78,1800.0,5.45,1.44,145995,145990
코스피,녹십자홀딩스,녹십자홀딩스2우,451470816000.0,,9600.0,18240.0,-90.0,300.0,3.12,300.0,1.64,0.53,005257,005250
코스피,대덕,대덕1우,445215404540.0,1121.36,14230.0,10420.0,26.77,1155.0,8.12,1160.0,11.13,1.37,00806K,008060
